"nct_id","umc_pi","umc_sponsor","umc_resp_party","umc","is_fda_regulated_drug","is_fda_regulated_device","is_unapproved_device","is_ppsd","is_us_export","is_randomized","is_blinded","is_multicentric","is_multinational","primary_sponsor","phase","planned_enrolment","actual_enrolment","completion_date","nlm_download_date_description","study_first_submitted_date","results_first_submitted_date","disposition_first_submitted_date","last_update_submitted_date","study_first_submitted_qc_date","study_first_posted_date","study_first_posted_date_type","results_first_submitted_qc_date","results_first_posted_date","results_first_posted_date_type","disposition_first_submitted_qc_date","disposition_first_posted_date","disposition_first_posted_date_type","last_update_submitted_qc_date","last_updated","last_update_posted_date_type","start_month_year","start_date_type","start_date","verification_month_year","verification_date","completion_month_year","completion_date_type","primary_completion_month_year","primary_completion_date_type","primary_completion_date","target_duration","study_type","acronym","baseline_population","brief_title","official_title","status","last_known_status","enrollment","enrollment_type","source","limitations_and_caveats","number_of_arms","number_of_groups","why_stopped","has_expanded_access","expanded_access_type_individual","expanded_access_type_intermediate","expanded_access_type_treatment","has_dmc","biospec_retention","biospec_description","ipd_time_frame","ipd_access_criteria","ipd_url","plan_to_share_ipd","plan_to_share_ipd_description","created_at","updated_at","source_class","delayed_posting","expanded_access_nctid","expanded_access_status_for_nctid","fdaaa801_violation","baseline_type_units_analyzed","patient_registry","countries","results_reporting"
"NCT02942758","Regensburg","Regensburg","Regensburg","Regensburg",FALSE,FALSE,,,,TRUE,FALSE,FALSE,FALSE,"Non-commercial","II",,10,"2020-03-25",,"2016-10-18",,,"2024-05-07","2016-10-21","2016-10-24","ESTIMATED",,,,,,,"2024-05-07","2024-05-08","ACTUAL","2017-04-10","ACTUAL","2017-04-10","2024-05","2024-05-31","2020-03-25","ACTUAL","2020-03-25","ACTUAL","2020-03-25",,"INTERVENTIONAL","AML-ViVA",,"Low-dose AZA, Pioglitazone, ATRA Versus Standard-dose AZA in Patients >=60 Years With Refractory AML","Randomized Phase II Trial With Safety run-in Phase Evaluating Low-dose AZA, ATRA and Pioglitazone Versus Standard Dose Azacitidine in Patients >=60 Years With AML Who Are Refractory to Standard Induction Chemotherapy","TERMINATED",,10,"ACTUAL","University Hospital Regensburg",,2,,"Due to financial reasons.",FALSE,,,,TRUE,,,,,,"NO",,"2025/05/12 21:45:48","2025/05/12 21:45:48","OTHER",,,,,,,"Germany",FALSE
"NCT01584180","Heidelberg","Heidelberg","Heidelberg","Heidelberg",,,,,,TRUE,FALSE,FALSE,FALSE,"Non-commercial","II",20,,"2012-05-31",,"2012-04-21",,,"2012-08-14","2012-04-21","2012-04-24","ESTIMATED",,,,,,,"2012-08-14","2012-08-15","ESTIMATED","2012-01",,"2012-01-31","2012-08","2012-08-31","2012-05","ACTUAL","2012-05","ACTUAL","2012-05-31",,"INTERVENTIONAL","iCOOL 3",,"A Randomized Trial Comparing 2 Methods for Rapid Induction of Cooling in Stroke Patients, Cold Infusions vs. EMCOOLS Brain.Pad (iCOOL 3)","iCOOL 3 (Induction of COOLing 3): A Randomized Trial Comparing 2 Methods for Rapid Induction of Cooling in Stroke Patients, Cold Infusions vs. EMCOOLS Brain.Pad","COMPLETED",,20,"ESTIMATED","University Hospital Heidelberg",,2,,,FALSE,,,,FALSE,,,,,,,,"2025/05/11 16:50:57","2025/05/11 16:50:57","OTHER",,,,,,,"Germany",FALSE
"NCT05010902",,"Charite","Charite","Charite",FALSE,FALSE,,,,,,FALSE,FALSE,"Non-commercial",,100,,"2026-12-31",,"2021-07-21",,,"2024-07-03","2021-08-17","2021-08-18","ACTUAL",,,,,,,"2024-07-03","2024-07-05","ACTUAL","2013-01-01","ACTUAL","2013-01-01","2024-07","2024-07-31","2026-12-31","ESTIMATED","2025-12-31","ESTIMATED","2025-12-31",,"OBSERVATIONAL",,,"Pregnancy Cohort in Multiple Sclerosis (MS)","Pregnancy Cohort in Multiple Sclerosis (MS)","RECRUITING",,100,"ESTIMATED","Charite University, Berlin, Germany",,,1,,FALSE,,,,FALSE,"SAMPLES_WITH_DNA","Stool and blood samples","Beginning 9 months and ending 36 months following article publication","Researchers who provide a methodologically sound proposal",,"YES","Individual participant data that underlie the results of reported articles (text, tables, figures, supplemental data) will be shared after deidentification","2025/05/12 00:00:37","2025/05/12 00:00:37","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT02108392",,"Bonn","Bonn","Bonn",,,,,,,,FALSE,FALSE,"Non-commercial",,100,,"2018-12-31",,"2014-04-01",,,"2018-06-18","2014-04-08","2014-04-09","ESTIMATED",,,,,,,"2018-06-18","2018-06-20","ACTUAL","2014-01",,"2014-01-31","2018-06","2018-06-30","2018-12","ESTIMATED","2018-12","ESTIMATED","2018-12-31",,"OBSERVATIONAL",,,"Characterization of Pseudoxanthoma Elasticum","Characterization of Patients With Pseudoxanthoma Elasticum","UNKNOWN","ACTIVE_NOT_RECRUITING",100,"ESTIMATED","University Hospital, Bonn",,,,,FALSE,,,,TRUE,"SAMPLES_WITH_DNA","whole blood samples",,,,,,"2025/05/12 00:00:37","2025/05/12 00:00:37","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT00502554",,"Hannover","Hannover","Hannover",,,,,,TRUE,FALSE,TRUE,FALSE,"Non-commercial",,,12,"2010-03-31",,"2007-07-16",,,"2011-07-25","2007-07-16","2007-07-17","ESTIMATED",,,,,,,"2011-07-25","2011-07-26","ESTIMATED","2007-08",,"2007-08-31","2008-05","2008-05-31","2010-03","ACTUAL","2010-03","ACTUAL","2010-03-31",,"INTERVENTIONAL",,,"Extracorporeal Photopheresis in Patients With Bronchiolitis Obliterans Syndrome (BOS) After Lung Transplantation","Extracorporeal Photopheresis in Patients With Bronchiolitis Obliterans Syndrome (BOS) After Lung Transplantation","TERMINATED",,12,"ACTUAL","Hannover Medical School",,2,,"insufficient patient recruitment and ECP capacity",FALSE,,,,TRUE,,,,,,,,"2025/05/12 21:45:48","2025/05/12 21:45:48","OTHER",,,,,,,"Germany",FALSE
"NCT02164201","München_TU",,,"München_TU",,,,,,,,TRUE,TRUE,"Commercial",,,75,"2015-07-31",,"2014-06-12",,,"2015-07-27","2014-06-13","2014-06-16","ESTIMATED",,,,,,,"2015-07-27","2015-07-29","ESTIMATED","2014-08",,"2014-08-31","2015-07","2015-07-31","2015-07","ACTUAL","2015-07","ACTUAL","2015-07-31",,"OBSERVATIONAL",,,"Post Market Surveillance Study Evaluating BioFoam Surgical Matrix in Cardiovascular Surgery","Post Market Surveillance Study Evaluating the Operative Management of Anastomotic Bleeding by Means of an Adjunctive Application of BioFoam Surgical Matrix in Cardiovascular Surgery","COMPLETED",,75,"ACTUAL","CryoLife Europa",,,,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 21:45:48","2025/05/12 21:45:48","INDUSTRY",,,,,,FALSE,"Germany;Italy",FALSE
"NCT04724408","Hamburg","Hamburg",,"Hamburg",FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,"Non-commercial",,,58,"2021-03-01",,"2021-01-23",,,"2021-04-07","2021-01-23","2021-01-26","ACTUAL",,,,,,,"2021-04-07","2021-04-08","ACTUAL","2021-01-26","ACTUAL","2021-01-26","2021-04","2021-04-30","2021-03-01","ACTUAL","2021-03-01","ACTUAL","2021-03-01",,"INTERVENTIONAL","VieScOP",,"VieScope Versus Direct Laryngoscopic Intubation","Endotracheal Intubation With VieScope Versus Direct Laryngoscopic Intubation in Patients for Elective Surgery - a Prospective Randomized Trial.","COMPLETED",,58,"ACTUAL","Universitätsklinikum Hamburg-Eppendorf",,2,,,FALSE,,,,FALSE,,,,,,"UNDECIDED",,"2025/05/12 21:45:48","2025/05/12 21:45:48","OTHER",,,,,,,"Germany",FALSE
"NCT04777812",,"Göttingen","Göttingen","Göttingen",FALSE,FALSE,,,,,FALSE,FALSE,FALSE,"Non-commercial",,,424,"2024-02-23",,"2021-02-25",,,"2024-04-26","2021-03-01","2021-03-02","ACTUAL",,,,,,,"2024-04-26","2024-04-30","ACTUAL","2020-02-17","ACTUAL","2020-02-17","2024-04","2024-04-30","2024-02-23","ACTUAL","2023-09-30","ACTUAL","2023-09-30",,"INTERVENTIONAL","P-MAPS",,"Pancreatitis - Microbiome As Predictor of Severity","Pancreatitis - Microbiome As Predictor of Severity","COMPLETED",,424,"ACTUAL","University Medical Center Goettingen",,,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/11 16:50:57","2025/05/11 16:50:57","OTHER",,,,,,,"Germany",FALSE
"NCT05820113","Bonn","Bonn","Bonn","Bonn",FALSE,FALSE,,,FALSE,,FALSE,FALSE,FALSE,"Non-commercial",,,109,"2022-11-30",,"2023-02-06",,,"2023-04-06","2023-04-06","2023-04-19","ACTUAL",,,,,,,"2023-04-06","2023-04-19","ACTUAL","2022-08-01","ACTUAL","2022-08-01","2023-04","2023-04-30","2022-11-30","ACTUAL","2022-11-30","ACTUAL","2022-11-30",,"INTERVENTIONAL",,,"Deep Learning Super Resolution Reconstruction for Fast and Motion Robust T2-weighted Prostate MRI","Deep Learning Super Resolution Reconstruction for Fast and Motion Robust T2-weighted Prostate MRI","COMPLETED",,109,"ACTUAL","University Hospital, Bonn",,1,,,FALSE,,,,,,,,,,"NO",,"2025/05/12 00:00:37","2025/05/12 00:00:37","OTHER",,,,,,,"Germany",FALSE
"NCT01440010","Mannheim","Mannheim","Mannheim","Mannheim",,,,,,,,FALSE,FALSE,"Non-commercial",,,1135,"2020-12-31",,"2011-09-22",,,"2022-05-30","2011-09-22","2011-09-23","ESTIMATED",,,,,,,"2022-05-30","2022-06-02","ACTUAL","2011-09-01","ACTUAL","2011-09-01","2022-05","2022-05-31","2020-12-31","ACTUAL","2020-12-31","ACTUAL","2020-12-31",,"OBSERVATIONAL","TARGIT_BQR",,"TARGeted Intraoperative radioTherapy With INTRABEAM as a Boost for Breast Cancer - A Quality Control Registry","TARGeted Intraoperative radioTherapy With the INTRABEAM-System as an Advanced Boost in Patients With Breast Cancer - A Quality Control Registry in Germany (TARGIT BQR)","COMPLETED",,1135,"ACTUAL","Universitätsmedizin Mannheim",,,1,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 00:00:37","2025/05/12 00:00:37","OTHER",,,,,,,"Germany",FALSE
