crossreg_id,trial_id,status,last_updated,registration_date,actual_completion_date,estimated_completion_date,is_interventional,is_completed_2018_2021,is_german_umc,has_trial_de_protocol,has_euctr_results,completion_date,has_premature,has_de_premature,completion_date_type,filled_actual_completion_dates,filled_euctr_completion_date,has_interventional,has_german_umc,registries,has_cluster_de_protocol,hierarchical_completion_date,has_completion_2018_2021,recent_status,has_withdrawn_status,many_to_many,trns_in_cluster,mtm_validated
2005-002320-34_NCT00844142,2005-002320-34,Completed,2021-11-26,2006-05-16,2018-10-01,2018-02-01,TRUE,TRUE,TRUE,TRUE,TRUE,2018-10-01,FALSE,FALSE,NA,NA,2018-10-01,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2018-10-01,TRUE,Completed,FALSE,FALSE,2,FALSE
2005-002320-34_NCT00844142,NCT00844142,UNKNOWN,2009-02-12,2009-02-12,NA,2013-07-31,TRUE,FALSE,TRUE,NA,TRUE,2013-07-31,FALSE,FALSE,ESTIMATED,NA,NA,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2018-10-01,TRUE,Completed,FALSE,FALSE,2,FALSE
2005-003484-23_NCT01126216,2005-003484-23,Completed,2022-05-08,2009-12-16,2019-03-20,2019-03-20,TRUE,TRUE,TRUE,TRUE,TRUE,2019-03-20,FALSE,FALSE,NA,2019-06-30,2019-03-20,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2019-03-20,TRUE,Completed,FALSE,FALSE,2,FALSE
2005-003484-23_NCT01126216,NCT01126216,TERMINATED,2021-04-28,2010-05-17,2019-06-30,NA,TRUE,TRUE,TRUE,NA,TRUE,2019-06-30,FALSE,FALSE,ACTUAL,2019-06-30,NA,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2019-03-20,TRUE,Completed,FALSE,FALSE,2,FALSE
2005-005144-62_NCT01449344,2005-005144-62,Completed,2022-06-25,2010-10-26,2020-04-02,2020-04-02,TRUE,TRUE,TRUE,TRUE,TRUE,2020-04-02,FALSE,FALSE,NA,NA,2020-04-02,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2020-04-02,TRUE,Completed,FALSE,FALSE,2,FALSE
2005-005144-62_NCT01449344,NCT01449344,UNKNOWN,2017-03-06,2011-09-28,NA,2018-12-31,TRUE,TRUE,TRUE,NA,TRUE,2018-12-31,FALSE,FALSE,ESTIMATED,NA,NA,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2020-04-02,TRUE,Completed,FALSE,FALSE,2,FALSE
2005-005218-19_NCT00278408,NCT00278408,COMPLETED,2021-03-09,2006-01-16,2018-02-28,NA,TRUE,TRUE,TRUE,NA,FALSE,2018-02-28,FALSE,FALSE,ACTUAL,2018-02-28,NA,TRUE,TRUE,ClinicalTrials.gov_EudraCT,FALSE,2018-02-28,TRUE,COMPLETED,FALSE,FALSE,2,FALSE
2005-005218-19_NCT00278408,2005-005218-19,Ongoing,NA,2008-07-18,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,2018-04-19,FALSE,FALSE,NA,2018-04-19,NA,TRUE,TRUE,ClinicalTrials.gov_EudraCT,FALSE,2018-02-28,TRUE,COMPLETED,FALSE,FALSE,2,FALSE
2006-000811-12_NCT00450203,2006-000811-12,Completed,2020-08-29,2011-01-19,2018-11-30,2018-11-30,TRUE,TRUE,TRUE,TRUE,TRUE,2018-11-30,TRUE,FALSE,NA,NA,2018-11-30,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2018-11-30,TRUE,Completed,FALSE,FALSE,2,FALSE
2006-000811-12_NCT00450203,NCT00450203,UNKNOWN,2016-11-30,2007-03-20,NA,2017-12-31,TRUE,FALSE,FALSE,NA,TRUE,2017-12-31,TRUE,FALSE,ESTIMATED,NA,NA,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2018-11-30,TRUE,Completed,FALSE,FALSE,2,FALSE
2006-000995-33_NCT00433459,2006-000995-33,Completed,2021-06-10,2006-09-05,2018-10-30,2018-10-30,TRUE,TRUE,TRUE,TRUE,TRUE,2018-10-30,FALSE,FALSE,NA,2013-01-31,2018-10-30,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2018-10-30,TRUE,Completed,FALSE,FALSE,2,FALSE
2006-000995-33_NCT00433459,NCT00433459,COMPLETED,2020-03-24,2007-02-08,2013-01-31,NA,TRUE,FALSE,FALSE,NA,TRUE,2013-01-31,FALSE,FALSE,ACTUAL,2013-01-31,NA,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2018-10-30,TRUE,Completed,FALSE,FALSE,2,FALSE
2006-001641-33_NCT00554164,2006-001641-33,Completed,2022-06-06,2007-04-25,2018-03-31,2018-03-31,TRUE,TRUE,TRUE,TRUE,TRUE,2018-03-31,FALSE,FALSE,NA,2017-03-31,2018-03-31,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2018-03-31,TRUE,Completed,FALSE,FALSE,2,FALSE
2006-001641-33_NCT00554164,NCT00554164,COMPLETED,2017-05-04,2007-11-05,2017-03-31,NA,TRUE,FALSE,TRUE,NA,TRUE,2017-03-31,FALSE,FALSE,ACTUAL,2017-03-31,NA,TRUE,TRUE,ClinicalTrials.gov_EudraCT,TRUE,2018-03-31,TRUE,Completed,FALSE,FALSE,2,FALSE
2006-006088-22_DRKS00003078_NCT02158988,2006-006088-22,Completed,2022-06-29,2011-02-14,2020-06-09,2021-06-09,TRUE,TRUE,TRUE,TRUE,TRUE,2020-06-09,FALSE,FALSE,NA,2020-06-09,2020-06-09,TRUE,TRUE,ClinicalTrials.gov_DRKS_EudraCT,TRUE,2020-06-09,TRUE,Completed,FALSE,FALSE,3,FALSE
