"nct_id","alias"
"NCT00000145","NCT00001312"
"NCT00000246","NCT00000247"
"NCT00000317","NCT00000272"
"NCT00000375","NCT00069394"
"NCT00000620","NCT00182910"
"NCT00001123","NCT00004267"
"NCT00001163","NCT00004007"
"NCT00001186","NCT00018915"
"NCT00001238","NCT00019617"
"NCT00001251","NCT00018928"
"NCT00001337","NCT00018980"
"NCT00001379","NCT00018993"
"NCT00001426","NCT00019045"
"NCT00001503","NCT00296075"
"NCT00001506","NCT00019149"
"NCT00001507","NCT00019162"
"NCT00001512","NCT00878488"
"NCT00001560","NCT00556582"
"NCT00001563","NCT00019253"
"NCT00001564","NCT00019279"
"NCT00001566","NCT00019266"
"NCT00001572","NCT00878410"
"NCT00001574","NCT00019292"
"NCT00001575","NCT00019305"
"NCT00001582","NCT00899067"
"NCT00001586","NCT00019370"
"NCT00001662","NCT00000181"
"NCT00001686","NCT00445536"
"NCT00001703","NCT00019526"
"NCT00001803","NCT00003866"
"NCT00001806","NCT00019877"
"NCT00001807","NCT00020293"
"NCT00001813","NCT00004044"
"NCT00001823","NCT00019799"
"NCT00001827","NCT00019903"
"NCT00001830","NCT00019851"
"NCT00001832","NCT00019942"
"NCT00001880","NCT00003839"
"NCT00001933","NCT00000186"
"NCT00001938","NCT00020033"
"NCT00001941","NCT00020020"
"NCT00001967","NCT00001134"
"NCT00001972","NCT00001370"
"NCT00001973","NCT00001607"
"NCT00002220","NCT00002242"
"NCT00002445","NCT00003879"
"NCT00002514","NCT00222586"
"NCT00002765","NCT00001501"
"NCT00002786","NCT00029419"
"NCT00002796","NCT01925326"
"NCT00002835","NCT00038740"
"NCT00003064","NCT00034320"
"NCT00003552","NCT00001739"
"NCT00003553","NCT00001635"
"NCT00003646","NCT00416806"
"NCT00003647","NCT00416416"
"NCT00003691","NCT00698620"
"NCT00003789","NCT00056732"
"NCT00003838","NCT00001875"
"NCT00003895","NCT02009657"
"NCT00003913","NCT00053755"
"NCT00004024","NCT00004018"
"NCT00004024","NCT00004019"
"NCT00004024","NCT00004020"
"NCT00004024","NCT00004021"
"NCT00004024","NCT00004023"
"NCT00004063","NCT00005929"
"NCT00004210","NCT00001470"
"NCT00004218","NCT00222599"
"NCT00004317","NCT00170599"
"NCT00004467","NCT00587366"
"NCT00004547","NCT00020059"
"NCT00004565","NCT00023608"
"NCT00004635","NCT00020085"
"NCT00004639","NCT00004462"
"NCT00004730","NCT00004484"
"NCT00004853","NCT00020137"
"NCT00004868","NCT00006067"
"NCT00004978","NCT00004737"
"NCT00004982","NCT00004536"
"NCT00005042","NCT00005932"
"NCT00005057","NCT00001755"
"NCT00005057","NCT00001974"
"NCT00005112","NCT00000109"
"NCT00005655","NCT00020163"
"NCT00005660","NCT00020956"
"NCT00005780","NCT00020215"
"NCT00005782","NCT00001980"
"NCT00005811","NCT00013676"
"NCT00005908","NCT00020241"
"NCT00005916","NCT00020228"
"NCT00005934","NCT00007072"
"NCT00006161","NCT00004469"
"NCT00006164","NCT00006139"
"NCT00006171","NCT00020319"
"NCT00006184","NCT00020306"
"NCT00006206","NCT00000453"
"NCT00006237","NCT00546416"
"NCT00006304","NCT00000786"
"NCT00006320","NCT00006293"
"NCT00006392","NCT00076128"
"NCT00006398","NCT00004641"
"NCT00006421","NCT00012415"
"NCT00006425","NCT00012402"
"NCT00006435","NCT00445991"
"NCT00006436","NCT00020384"
"NCT00006450","NCT00006238"
"NCT00006515","NCT00020423"
"NCT00006518","NCT00898651"
"NCT00006981","NCT00006416"
"NCT00007098","NCT00143897"
"NCT00007332","NCT00006147"
"NCT00007345","NCT00020436"
"NCT00007501","NCT00001907"
"NCT00007501","NCT00006065"
"NCT00007501","NCT00006069"
"NCT00007501","NCT00023257"
"NCT00007644","NCT00002606"
"NCT00007800","NCT00331266"
"NCT00007956","NCT00006423"
"NCT00009035","NCT00458640"
"NCT00009191","NCT00000182"
"NCT00009204","NCT00000184"
"NCT00009217","NCT00000183"
"NCT00009230","NCT00000185"
"NCT00009256","NCT00005114"
"NCT00009594","NCT00009282"
"NCT00010049","NCT00023179"
"NCT00010361","NCT00144742"
"NCT00010465","NCT00009269"
"NCT00010478","NCT00008905"
"NCT00010491","NCT00009074"
"NCT00010504","NCT00006338"
"NCT00010517","NCT00004534"
"NCT00010530","NCT00009087"
"NCT00010621","NCT00009334"
"NCT00010634","NCT00009347"
"NCT00010647","NCT00009113"
"NCT00010686","NCT00009360"
"NCT00010699","NCT00009373"
"NCT00010712","NCT00009386"
"NCT00010738","NCT00009399"
"NCT00010751","NCT00009412"
"NCT00010764","NCT00009139"
"NCT00010777","NCT00009152"
"NCT00010803","NCT00004535"
"NCT00010816","NCT00009464"
"NCT00010829","NCT00009425"
"NCT00010842","NCT00009438"
"NCT00010855","NCT00008944"
"NCT00010868","NCT00008957"
"NCT00010881","NCT00009451"
"NCT00010933","NCT00009477"
"NCT00010946","NCT00009490"
"NCT00010959","NCT00008970"
"NCT00010972","NCT00008983"
"NCT00010985","NCT00008918"
"NCT00010998","NCT00009503"
"NCT00011414","NCT00020514"
"NCT00011492","NCT00045071"
"NCT00011778","NCT00016003"
"NCT00012194","NCT00227396"
"NCT00012298","NCT01646879"
"NCT00012350","NCT00021203"
"NCT00013286","NCT00011271"
"NCT00013533","NCT00020592"
"NCT00013611","NCT00002421"
"NCT00013663","NCT00034099"
"NCT00014859","NCT00200915"
"NCT00015132","NCT00015145"
"NCT00015132","NCT00015158"
"NCT00016549","NCT00021086"
"NCT00017693","NCT00016705"
"NCT00017914","NCT00001374"
"NCT00017953","NCT00000624"
"NCT00018941","NCT00001268"
"NCT00018967","NCT00001299"
"NCT00019006","NCT00001380"
"NCT00019019","NCT00001423"
"NCT00019032","NCT00001425"
"NCT00019071","NCT00001433"
"NCT00019084","NCT00001434"
"NCT00019097","NCT00001562"
"NCT00019110","NCT00001441"
"NCT00019123","NCT00001492"
"NCT00019136","NCT00001494"
"NCT00019175","NCT00001510"
"NCT00019188","NCT00001508"
"NCT00019201","NCT00001511"
"NCT00019214","NCT00001558"
"NCT00019227","NCT00001514"
"NCT00019240","NCT00001559"
"NCT00019318","NCT00001578"
"NCT00019331","NCT00001581"
"NCT00019344","NCT00001585"
"NCT00019357","NCT00001583"
"NCT00019383","NCT00001684"
"NCT00019396","NCT00001687"
"NCT00019422","NCT00001690"
"NCT00019435","NCT00001691"
"NCT00019448","NCT00001692"
"NCT00019461","NCT00001682"
"NCT00019487","NCT00001694"
"NCT00019500","NCT00001700"
"NCT00019513","NCT00001706"
"NCT00019539","NCT00001707"
"NCT00019565","NCT00001709"
"NCT00019578","NCT00001791"
"NCT00019591","NCT00001794"
"NCT00019604","NCT00001795"
"NCT00019630","NCT00001798"
"NCT00019643","NCT00001796"
"NCT00019656","NCT00001799"
"NCT00019669","NCT00001800"
"NCT00019682","NCT00001801"
"NCT00019695","NCT00001802"
"NCT00019708","NCT00001804"
"NCT00019721","NCT00001808"
"NCT00019734","NCT00001811"
"NCT00019760","NCT00001809"
"NCT00019773","NCT00001817"
"NCT00019786","NCT00001820"
"NCT00019812","NCT00001819"
"NCT00019825","NCT00001824"
"NCT00019838","NCT00001822"
"NCT00019864","NCT00001821"
"NCT00019890","NCT00001825"
"NCT00019916","NCT00001828"
"NCT00019929","NCT00001829"
"NCT00019955","NCT00001834"
"NCT00019968","NCT00001831"
"NCT00019994","NCT00001833"
"NCT00020007","NCT00001939"
"NCT00020046","NCT00001942"
"NCT00020072","NCT00004546"
"NCT00020111","NCT00004548"
"NCT00020124","NCT00004636"
"NCT00020150","NCT00005019"
"NCT00020176","NCT00005568"
"NCT00020189","NCT00005670"
"NCT00020202","NCT00005656"
"NCT00020254","NCT00005759"
"NCT00020267","NCT00006074"
"NCT00020332","NCT00006277"
"NCT00020345","NCT00006288"
"NCT00020358","NCT00006287"
"NCT00020371","NCT00006317"
"NCT00020397","NCT00006491"
"NCT00020410","NCT00006197"
"NCT00020449","NCT00008879"
"NCT00020462","NCT00008996"
"NCT00020475","NCT00009516"
"NCT00020488","NCT00021515"
"NCT00020501","NCT00011427"
"NCT00020527","NCT00011219"
"NCT00020540","NCT00012532"
"NCT00020579","NCT00012571"
"NCT00020631","NCT00014924"
"NCT00021047","NCT00015743"
"NCT00021164","NCT00016640"
"NCT00021255","NCT00768092"
"NCT00021424","NCT00006410"
"NCT00021541","NCT00029354"
"NCT00021749","NCT00021190"
"NCT00021983","NCT00001792"
"NCT00022438","NCT00017849"
"NCT00022451","NCT00017888"
"NCT00022672","NCT00112450"
"NCT00022971","NCT00029367"
"NCT00023010","NCT00004470"
"NCT00023153","NCT00044850"
"NCT00023296","NCT00021684"
"NCT00024037","NCT01005134"
"NCT00024115","NCT00021593"
"NCT00025012","NCT00005661"
"NCT00025415","NCT00025948"
"NCT00025662","NCT00016484"
"NCT00026065","NCT00030017"
"NCT00026169","NCT00028392"
"NCT00026650","NCT00436813"
"NCT00026663","NCT00919529"
"NCT00026689","NCT00020280"
"NCT00026884","NCT00897585"
"NCT00026975","NCT00052702"
"NCT00027105","NCT00514176"
"NCT00027118","NCT00513838"
"NCT00027131","NCT00026507"
"NCT00027274","NCT00056121"
"NCT00027326","NCT00995943"
"NCT00028158","NCT00036699"
"NCT00028340","NCT00070460"
"NCT00028405","NCT00049205"
"NCT00029783","NCT00058500"
"NCT00030004","NCT00029705"
"NCT00030082","NCT00021606"
"NCT00030095","NCT00024609"
"NCT00030108","NCT00025961"
"NCT00030173","NCT00033501"
"NCT00030537","NCT00027313"
"NCT00030992","NCT00033670"
"NCT00031083","NCT00036725"
"NCT00031187","NCT00028470"
"NCT00031447","NCT00001099"
"NCT00031460","NCT00000934"
"NCT00031473","NCT00001098"
"NCT00031486","NCT00001124"
"NCT00031915","NCT00029094"
"NCT00031941","NCT00029081"
"NCT00032045","NCT00029549"
"NCT00032279","NCT00042744"
"NCT00032825","NCT00039221"
"NCT00032890","NCT00010790"
"NCT00032916","NCT00031330"
"NCT00032929","NCT00007553"
"NCT00032929","NCT00024700"
"NCT00032942","NCT00007566"
"NCT00032942","NCT00024713"
"NCT00032955","NCT00015392"
"NCT00032968","NCT00016757"
"NCT00032981","NCT00016770"
"NCT00032994","NCT00015730"
"NCT00033007","NCT00015405"
"NCT00033020","NCT00015418"
"NCT00033033","NCT00024869"
"NCT00033046","NCT00024752"
"NCT00033059","NCT00024765"
"NCT00033072","NCT00024882"
"NCT00033085","NCT00024726"
"NCT00033098","NCT00024778"
"NCT00033111","NCT00024895"
"NCT00033124","NCT00024739"
"NCT00033137","NCT00039533"
"NCT00033878","NCT00060060"
"NCT00034034","NCT00060073"
"NCT00034333","NCT00052819"
"NCT00034346","NCT00068562"
"NCT00034424","NCT00039598"
"NCT00034450","NCT00060034"
"NCT00034697","NCT00030836"
"NCT00034853","NCT00274482"
"NCT00035022","NCT00066235"
"NCT00035035","NCT00049426"
"NCT00035061","NCT00039260"
"NCT00035204","NCT00236314"
"NCT00035243","NCT00041002"
"NCT00035334","NCT00017667"
"NCT00035373","NCT00040924"
"NCT00035880","NCT00012077"
"NCT00035932","NCT00028054"
"NCT00036023","NCT00039247"
"NCT00036426","NCT00014157"
"NCT00036543","NCT00026481"
"NCT00036556","NCT00026455"
"NCT00036569","NCT00041145"
"NCT00036647","NCT00026325"
"NCT00036894","NCT00032214"
"NCT00036959","NCT00032266"
"NCT00037804","NCT00002958"
"NCT00037817","NCT00041158"
"NCT00038064","NCT00046982"
"NCT00038181","NCT00080652"
"NCT00038220","NCT00006189"
"NCT00038246","NCT00082693"
"NCT00038532","NCT00021619"
"NCT00038636","NCT00006210"
"NCT00038662","NCT00084994"
"NCT00038727","NCT00353314"
"NCT00039000","NCT00047359"
"NCT00039377","NCT01648426"
"NCT00039481","NCT00061191"
"NCT00039559","NCT00301743"
"NCT00039585","NCT00035646"
"NCT00039624","NCT00045344"
"NCT00039676","NCT00052234"
"NCT00039793","NCT00058513"
"NCT00040092","NCT00045409"
"NCT00040170","NCT00040976"
"NCT00040222","NCT00045214"
"NCT00040274","NCT00023270"
"NCT00040352","NCT00045240"
"NCT00040365","NCT00045253"
"NCT00040378","NCT00780689"
"NCT00040781","NCT00050739"
